
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.896913,µm,Spine,Spine Part Mean Diameter,3,2,1,100000003,610000009154,
1.32984,µm,Spine,Spine Part Mean Diameter,3,2,1,100000003,610000009155,
1.42356,µm,Spine,Spine Part Mean Diameter,3,2,1,100000003,610000009156,
1.13611,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000009157,
1.61323,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000009158,
1.00674,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000009159,
1.07138,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000009160,
0.985355,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000009161,
1.36109,µm,Spine,Spine Part Mean Diameter,2,2,1,100000003,610000009162,
1.4759,µm,Spine,Spine Part Mean Diameter,2,2,1,100000003,610000009163,
1.08026,µm,Spine,Spine Part Mean Diameter,2,2,1,100000003,610000009164,
1.5435,µm,Spine,Spine Part Mean Diameter,2,1,1,100000003,610000009165,
1.61314,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000009166,
0.814182,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000009167,
1.58504,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000009168,
0.96142,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000009169,
